id,question,A,B,C,D,ANS,justification,category
12,_________ સંચાર કોઈપણ અને બધી દિશાઓમાં પ્રવહાય શકે છે.,ઉપવાન,નીચે,ક્રોસવાઇઝ,હોરિઝોન્ટલ,C,"ઉદાહરણ તરીકે, વરિષ્ઠ અને જુનિયર્સની મીટિંગમાં, બધા એક બીજા સાથે વાતચીત કરે છે.",5
13,જેઓ એક જ શ્રેણીના લોકો વચ્ચે થાય તેને શું કહેવાય છે?,ઉપવાન,નીચે,ક્રોસવાઇઝ,હોરિઝોન્ટલ,D,"ઉદાહરણ તરીકે, વર્ગમાં બધા વિદ્યાર્થીઓ એકબીજા સાથે વાત કરે છે.",5
14,સેન્ડર માટે સંદેશ તૈયાર કરે છે અને દરેક અક્ષરો પ્રાપ્ત કરવા અને તેઓને એક વાક્ય,એન્કોડિંગ,ડીકોડિંગ,નોઇઝ,યાદ રાખવાનું,A,એન્કોડિંગનો અર્થ છે યોગ્ય શબ્દો શોધવાની અને વાક્ય બનાવવા માટે તેમને ગોઠવવાની પ્રક્રિયા.,5
15,સંદેશ છે__________.,વિચાર,ફિડબેક,નોઇઝ,એન્કોડેડ વિચાર,D,"જ્યારે વિચારને ભાષામાં અથવા કોઈપણ કોડમાં સ્થાનાંતરિત કરવામાં આવે છે, ત્યારે તે સંદેશ બની જાય છે.",5
16,"જ્યારે રિસિવર સંદેશ ડીકોડ કરે છે, તે પ્રાપ્ત કરે છે કે ___________.",વિચાર,ફિડબેક,નોઇઝ,એન્કોડેડ વિચાર,A,ડીકોડિંગ એ સંદેશમાં છુપાયેલા વિચારને સમજવા માટેની પ્રક્રિયા છે.,5
17,એન્કોડેડ વિચાર અને ડીકોડેડ વિચાર ____________ હોઈ શકે છે.,અમાર્ગે છે,અવશ્ય છે,છે,ક્યારેય નહિ,A,"પ્રાપ્તકર્તા કંઈક અલગ સમજી શકે છે, અને આને ગેરસમજ કહેવામાં આવે છે.",5
18,"ફિડબેક પ્રક્રિયાની પ્રારંભિક રિસિવર બન્યો છે, તે સંદેશ મોકલવાનો સારો રહે છે.",ડીકોડર,આરએક્સ,સંદેશ,સેન્ડર,D,"પ્રતિસાદની પ્રક્રિયા મૂળ પ્રાપ્તકર્તા દ્વારા શરૂ કરવામાં આવે છે, તેથી પ્રાપ્તકર્તા સંદેશ મોકલશે.",5
19,સંદેશો પ્રમાણે યોગ્ય _________ દ્વારા પ્રેષિત થવું જોઈA,ચેનલ,વ્હીકલ,ફિડબેક,આઈડીએશન,A,ચેનલ એટલે ટેલિફોન અથવા મેઈલ વગેરે જેના દ્વારા આપણે સંદેશો પ્રસારિત કરીએ છીA,5
20,સંચાર કયા દક્ષતાનું ભાગ છે.,છોટા,સોફ્ટ,હાર્ડ,ટફ,B,"કોમ્યુનિકેશન એટલે વાત કરવી કે લખવું, જે સોફ્ટ સ્કીલ છે.",5
21,સંચાર પ્રક્રિયા એક સંતોષજનક __________ સાથે સમાપ્ત થાય છે.,એન્કોડિંગ,ડીકોડિંગ,ફિડબેક,સંદેશ,C,"જ્યારે પ્રેષકને ખાતરી થાય છે કે પ્રાપ્તકર્તા દ્વારા મૂળ વિચાર યોગ્ય રીતે સમજાય છે, ત્યારે પ્રક્રિયા સમાપ્ત થાય છે.",5
22,જો સેન્ડર સાતા ફીડબેક સારી નથી મળી તો તે ફરીથી _________ વાક્ય બનાવવાનો ઉપયોગ કરેશે.,ડીકોડ,એન્કોડ,રિસીવ,આઈડિયા,A,એન્કોડ એટલે સંદેશની તૈયારી.,5
23,ઉપવાન સંચારમાં વિપરીત કયો છે?,હોરિઝોન્ટલ,ગ્રેપવાઇન,ક્રોસવાઇઝ,નીચે,D,"જ્યારે કોઈ વરિષ્ઠ કોઈ જુનિયર સાથે વાતચીત કરે છે, ત્યારે તે ડાઉનવર્ડ છે, જે અપવર્ડ કોમ્યુનિકેશનની વિરુદ્ધ છે.",5
24,ગ્રેપવાઇન સંચાર એક ___________ સંચાર છે.,અસામાજિક,સામાજિક,સંગઠનાત્મક,ઉપવાન,A,"અનૌપચારિક રીતે, દ્રાક્ષ બધી દિશામાં ફેલાય છે.",5
25,રૂમર્સ _______________ સંચાર દ્વારા ફેલાવામાં આવે છે.,ઉપવાન,નીચે,ગ્રેપવાઇન,ક્રોસવાઇઝ,C,"દ્રાક્ષની વેલ બધી દિશામાં વહે છે, તેથી કોઈપણ અન્ય કોઈની સાથે વાત કરે છે, દરેક મૂળ વિચારમાં કંઈક ઉમેરે છે.",5
26,ગૈર-મૌખિક સંચારમાં કેટલા પ્રકારના અંગો છે?,2,5,4,7,B,"બિન-મૌખિક સંદેશાવ્યવહારમાં 5 ઘટકો છે, કિનેસિસ, પ્રોક્સિમિક્સ, ક્રોનમિક્સ, પેરાલેંગ્વેજ, દેખાવ.",5
27,ઓરલ સંચાર કયા પ્રકારનું સંચારનું ભાગ છે?,મૌખિક સંચાર,ગૈર-મૌખિક સંચાર,દ્રશ્ય સંચાર,કિનેસિસ,A,મૌખિક વાતચીતમાં વક્તા શબ્દોનો ઉપયોગ કરે છે.,5
28,નોન-વર્બલ સંચારનું અંગો છે?,કિનેસિસ,પ્રોક્સિમિક્સ,ક્રોનેમિક્સ,પેરાલેન્ગ્વેજ,C,"કાઇનેસિસ, પ્રોક્સેમિક્સ, ક્રોનેમિક્સ, પેરાલેંગ્વેજ અને એપિરિયન્સ બિન-મૌખિક સંચારના પાંચ ઘટકો છે.",5
29,પ્રોક્સિમિક્સ નો મતલબ છે?,ધ્વનિ,દૂરતા,આંખોનો સંપર્ક,સ્વરાનું માપ,B,પ્રોક્સેમિક્સ એટલે વક્તા અને શ્રોતા વચ્ચેનું અંતર દર્શાવતી અવકાશ ભાષા.,5
30,પેરાલેન્ગ્વેજ કયા નું સંપર્ક કરે છે?,આવાજ,ટોન,ઉચ્ચાર,બીજી બધા,D,"પેરાભાષા એ બિન-મૌખિક ઘટકોમાંથી એક છે. તે અવાજ, સ્વર, ઉચ્ચાર, પિચ અને સ્વરૃપ પેટર્ન જેવા અવાજના ગુણો સાથે વ્યવહાર કરે છે.",5
31,કિનેસિસ કયા નું સમાવેશ કરે છે?,આંખોનો સંપર્ક,હાથની ચાલો,ચહેરાનો અભિવ્યક્તિકરણ,બીજી બધા,D,કાઇનેસિસ એટલે બોડી લેંગ્વેજ.,5
32,સામાજિક અંતર અર્થે છે_________.,18 ઇંચ સુધીની દૂરતા,5 ફીટ થી 12 ફીટ,12 ફીટ થી 25 ફીટ,8 ઇંચ થી 5 ફીટ,B,આ વ્યક્તિગત સ્પેસનો સંદર્ભ આપે છે જે વ્યક્તિને સામાજિક સંચારમાં જરૂરી છે.,5
33,ક્રોનેમિક્સ કે સમય વ્યવહારને સંબંધિત છે.,સમય,ઉચ્ચાર,આંખોનો સંપર્ક,પિચ,A,"ક્રોનેમિક્સનો અર્થ છે સમયની ભાષા, વ્યક્તિ સમયને કેવી રીતે પ્રતિક્રિયા આપે છે તે કંઈક વાતચીત કરે છે.",5
34,આત્મવિશ્વાસની કમી શક્યતા પૂર્ણ __________ બનાવી શકે છે.,સેમેન્ટિક બેરિયર,ફિઝિકલ બેરિયર,ઇંટરપર્સનલ બેરિયર,આર્ગનાઇઝેશનલ બેરિયર,C,આત્મવિશ્વાસના અભાવે ગેરસમજ થઈ શકે છે.,5
35,માનસિક બેરિયર્સ સ્થિતિ સાથે ઉત્પન્ન થાય છે_______.,સ્પેલિંગ ભૂલો,તણાવ,બોલાવટી અક્ષમતા,સંચારનું ખરાબ પ્રવાહ,B,તણાવ વ્યક્તિના શરીરવિજ્ઞાન સાથે સંબંધિત છે.,5
36,જાર્ગન્સનો ઉપયોગ કરવાથી કોઈ ___________ બેરિયર ઉત્પન્ન થવો શકે છે.,આર્ગનાઇઝેશનલ બેરિયર,પ્સિકોલોજિકલ બેરિયર,સોસિઓ-કલ્ચરલ બેરિયર,ફિઝિકલ બેરિયર,A,સિમેન્ટીકનો અર્થ ભાષા સાથે સંબંધિત છે અને જાર્ગન એટલે ટેકનિકલ શબ્દો.,5
37,સંચારને મંદ અને અપ્રભાવકારક બનાવતા ઘટકો કેવા છે કહેવામાં આવે છે?,સિરીઝ,બેરિયર્સ,ચેનલ,કેરીઅર્સ,B,અવરોધો એટલે પ્રક્રિયામાં અવરોધો.,5
38,સંચારનું અપર્યાય અસંગઠિત બેરિયરનું ઉદાહરણ છે.,સેમેન્ટિક બેરિયર,પ્સિકોલોજિકલ બેરિયર,સંગઠનાત્મક બેરિયર,સંગઠનાત્મક બેરિયર,C,સંસ્થામાં અસંગઠિત સંચાર પ્રણાલી સમસ્યાઓ ઊભી કરી શકે છે.,5
39,સામાજિક-સાંસ્કૃતિક બેરિયર્સનું મૂળ કારણ કોણ હોઈ શકે છે?,ચિંતા,યંત્ર,વર્ગ સંઘર્ષ,જાર્ગન્સ,C,વિવિધ વર્ગોમાં વિવિધ પસંદ અને નાપસંદ હોઈ શકે છે અને તે સંઘર્ષમાં પરિણમે છે.,5
40,સંચારની ભૌતિક બેરિયર્સ શું બનાવી છે?,શોર,દૂરતા,શ્રાવણ અસમર્થતા,બીજું બધું,D,બધા ભૌતિક અવરોધોના ઉદાહરણો છે.,5
41,વ્યક્તિગત પૂર્વગુણ કયા પ્રકારનું બેરિયર છે?,માનસિક બેરિયર્સ,સેમેન્ટિક/ભાષાવિજ્ઞાનિક બેરિયર,સામાજિક-સાંસ્કૃતિક બેરિયર્સ,ભૌતિક બેરિયર્સ,A,પ્રુજ્યુડિસ અને પૂર્વગ્રહ એ મનોવૈજ્ઞાનિક તત્વો છે.,5
42,માહિતી ભરપેલી અને તકનીકી શબ્દોનો ઉપયોગ થતો હોય તો કોઈ બેરિયર ઉત્પન્ન થવો શકે છે.,સંગઠનાત્મક બેરિયર,માનસિક બેરિયર્સ,ભૌતિક બેરિયર્સ,સેમેન્ટિક/ભાષાવિજ્ઞાનિક બેરિયર,D,વધુ પડતી માહિતી કોઈપણ સંસ્થામાં વસ્તુઓનું સંચાલન કરવામાં સમસ્યા ઊભી કરી શકે છે.,5
43,રુચિની કમી એટલે ____________ ઉત્પન્ન થવી શકે છે.,ભૌતિક બેરિયર,સામની પૂર્વગુણ,માનસિક બેરિયર્સ,અંતરવ્યક્તિક બેરિયર,B,"બે વ્યક્તિઓ વચ્ચે વાતચીત દરમિયાન, જો કોઈને રસ ન હોય તો, ગેરસમજ થઈ શકે છે.",5
44,સાક્ષરતાની કમી કઈ પ્રકારનું બેરિયર છે?,ભૌતિક બેરિયર્સ,માનસિક બેરિયર્સ,સામાજિક-સાંસ્કૃતિક બેરિયર્સ,ઇંટરપર્સનલ બેરિયર્સ,B,"સાંભળવું અને બોલવું એ શરીરના ભૌતિક અંગો સાથે જોડાયેલું છે, તેથી તે શારીરિક અવરોધ છે.",5
45,પ્રમાણિકતા સાથે કંપ્યુટરના અનુભવ પર ખૂબ મોટું અસર પડતું હોય તો કયો બેરિયર ઉત્પન્ન થાય છે?,યંત્રિક,સંગઠનાત્મક,માનસિક,ભૌતિક,A,"જ્યારે આપણે કોઈ વસ્તુને જોઈને તેનો અર્થ સમજીએ છીએ, તે દ્રશ્ય સંચાર છે.",5
46,યથાર્થવાદી અને પૂર્ણતા ભૂતક બોલી પણ બેરિયર ઉત્પન્ન કરી શકે છે.,ભૌતિક બેરિયર્સ,સામજાજિક બેરિયર્સ,સેમેંટિક/ભાષાવિજ્ઞાનિક બેરિયર,પ્સિકોલોજિકલ બેરિયર્સ,C,"મુશ્કેલ અને ટેકનિકલ શબ્દો બધા સમજી શકતા નથી, જેથી મૂંઝવણ ઊભી થઈ શકે.",5
47,જેવું સંવાદ સાચાં પરિસ્થિતિની જોડણી ન લે તેવું સંવાદ બેરિયર ઉત્પન્ન કરી શકે છે.,આંખો સામે પરિહારો,6 ફીટ દૂરે,જાર્ગન્સ ઉપયોગ,કોઈ નહીં,A,વસ્તુઓ સમજવા માટે આંખનો સંપર્ક જરૂરી છે.,5
48,ક્યા પ્રકારના સંવાદમાં શબ્દોનો ઉપયોગ થાય છે?,નોન-વર્બલ કમ્યુનિકેશન,વર્બલ કમ્યુનિકેશન,વિઝ્યુઅલ કમ્યુનિકેશન,કોઈ નહીં,B,વર્બલ કોમ્યુનિકેશન એટલે શબ્દો અને ભાષાનો ઉપયોગ કરીને વાતચીત.,5
49,ખોટા સાધનો અને યંત્ર અથવા ટેકનોલોજી વિષે અપર્યાપ્ત જ્ઞાન માટે _______ બેરિયર ઉત્પન્ન થાય છે.,યાંત્રિક,સંગઠનાત્મક,માનસિક,ભૌતિક,A,કારણ કે સમસ્યા મશીનો સાથે જોડાયેલી છે.,5
50,"સામાજિક પરિસ્થિતિમાં શબ્દો પણ અનુભવ છે, પરંતુ તે શબ્દો અક્ષરો અને વાક્ય સાથે નથી.",ભૌતિક બેરિયર્સ,સામજાજિક બેરિયર્સ,સેમેંટિક/ભાષાવિજ્ઞાનિક બેરિયર,પ્સિકોલોજિકલ બેરિયર્સ,A,"દરેક સમાજમાં, સાંસ્કૃતિક પૃષ્ઠભૂમિ અલગ હોઈ શકે છે, તેથી ત્યાં ગેરસંચાર હોઈ શકે છે.",5
51,11π/6 નું ડિગ્રી માપ _____છે.,330°,30°,270°,320°,A,,5
52,tan⁡〖60°〗/cot⁡〖30° ની કિંમત શોધો.,0,1,2,3,B,,5
54,જોcosx=2/3 અને 𝑥 પ્રથમ ચરણમાં હોય તો 𝑡𝑎𝑛𝑥=______,,,,,C,,5
55,25° નું રેડિયન માપ _______છે.,,,,,A,,5
,,,,,,,,5
56,જો cos x= 3/4 તો cos⁡ 2x ની કિંમત _______છે.,,,,,C,,5
57,"જો〖4 tan θ= 3, તો (4 sin⁡〖θ-cos⁡θ 〗)/(4 sin⁡〖θ+ 9 cos⁡θ ) ની કિંમત શોધો.",1⁄6,11⁄6,7⁄6,(-1)⁄6,A,,5
58,tan 25π/6 ની કિંમત____ છે.,,,,,D,,5
,,,,,,,,5
59,નું ડિગ્રી માપ _____છે.,310°,230°,60°,210°,D,,5
,,,,,,,,5
60,sin⁡〖78° cos〖18^0 - cos〖78^0 sin〖18^0 ની કિંમત શોધો.,,,,,A,,5
,,,,,,,,5
61,cos⁡〖48°- sin⁡〖42°〗 ની કિંમત શોધો.,1,0,-1,2,B,,5
62,નું રેડિયન માપ _______છે.,,,,,B,,5
,,,,,,,,5
63,"જો sinA= 4/5 અને cosB= 5/13 જ્યાં 0<A,B< π/2 તો sin⁡ (A-B)= _______",,,,,C,,5
,,,,,,,,5
64,ની કિંમત ____ છે.,√3,1/√3,-√3,1,A,,5
,,,,,,,,5
65,ની કિંમત શોધો.,6,8,-8,0,B,,5
,,,,,,,,5
66,જો અને 𝑥 બીજાચરણમાં હોય તો 𝑠𝑖𝑛𝑥 = ____,,,,,C,,5
,,,,,,,,5
67,"જો sinA=4/5 અને cosB= 5/13 જ્યાં 0<A,B< π/2 તો cos(𝐴−𝐵)=_____",0,,,1,B,,5
,,,,,,,,5
68,ની કિંમત શોધો.,1,-1,0,2,A,,5
,,,,,,,,5
,,,,,,,,5
69,બળનું એકમ --------,kg,m,m/s,Newton,D,,5
70,"""પદાર્થની માત્રા"" દર્શાવવા માટેનું પ્રતીક ________ છે",K,A,Cd,mol,D,,5
71,નીચેનામાંથી કયું પૂરક એકમ છે ——–,માસ,સમય,ઘન કોણ,તેજસ્વીતા,C,,5
72,AU એ ________ નો એકમ છે,ખગોળશાસ્ત્ર એકમ,ખગોળીય એકમ,જ્યોતિષ એકમ,પુરાતત્વીય એકમ,,,5
73,ગતિ ઊર્જાના પરિમાણો ________ના પરિમાણો સમાન છે,પ્રવેગ,વેગ,કામ,બળ,C,,5
74,ફરાડ એ ________ નો એકમ છે,તેજસ્વીતા,તરંગલંબાઇ,કેપેસિટન્સ,જડતા,C,,5
75,જૌલ/સેકન્ડ એ નું એકમ છે,બળ,કોણીય વેગ,ઉર્જા,શક્તિ,D,,5
76,J/s એ-------- નું એકમ છે,બળ,કોણીય વેગ,ઉર્જા,શક્તિ,D,,5
77,બળના આવેગનું એકમ છે ----------,કે,kg m/s,હર્ટ્ઝ,ન્યુટન/મી,B,,5
78,જે એકમની સિસ્ટમ છે,એસએમએસ સિસ્ટમ,MKP સિસ્ટમ,FPS સિસ્ટમ,FPS સિસ્ટમ,C,,5
79,1m/s=---------cm/s,10,1000,100000,100,D,,5
80,"ઘનનું કદ .....m3, જો તેની બાજુ 1 મીટર હોય",1,1000,100000,100,A,,5
81,"""પદાર્થની માત્રા"" દર્શાવવા માટેનું પ્રતીક ________ છે",કે,એ,સીડી,મોલ,D,,5
82,ગતિ ઊર્જાના પરિમાણો ________ના પરિમાણો સમાન છે,પ્રવેગ,વેગ,કામ,બળ,C,,5
83,નીચેનામાંથી કયું પરિમાણહીન છે,કામ,શક્તિ,કામ,આવેગ,B,,5
84,ફોર્સના પરિમાણો છે,[M-1L3T-2],[M1L1T-2],[M-1L2T-2],[M1L-1T-1],B,,5
85,નીચેનામાંથી કયું પરિમાણહીન છે,બળ/પ્રવેગક,વેગ/પ્રવેગક,વોલ્યુમ/એરિયા,ઊર્જા/કામ,D,,5
86,સાર્વત્રિક વેગના પરિમાણો ---------છે,[M-1L3T-2],[M1L1T-2],[M-1L2T-2],[M1L-1T-1],D,,5
87,1m=___________cm,10,100,1000,10000,A,,5
88,1N=___________dyne,10,100,1000,10000,D,,5
89,1m ત્રિજ્યા ધરાવતા ગોળાનું કદ ------m3 છે,4,8,12,16,A,,5
90,1m ત્રિજ્યા ધરાવતા ગોળાનું ક્ષેત્રફળ ------------------- છે.,130,1.3,26,13,D,,5
91,વિસ્તારનું એકમ (ક્ષેત્રફળ) છે ------------,kg,m2,m/s,Newton,B,,5
92,દબાણનું એકમ ------------ છે,ન્યુટન/m2,kgm/s,m/s,ન્યુટન/મી,A,,5
93,ઘનતાનું એકમ ------------ છે,ન્યુટન/m2,kgm/s,kg/m3,ન્યુટન/મી,C,,5
94,જે મૂળભૂત એકમ નથી?,કે,એ,m/s,મોલ,C,,5
95,મૂળભૂત એકમ (મૂળભૂત એકમ) કયો છે?,મી,kgm/s,kg/m3,ન્યુટન/મી,A,,5
96,1g/cm3=-------kg/m3,10,100,1000,10000,C,,5
97,2 મીટરની બાજુ ધરાવતા ઘનનું પ્રમાણ ----------- છે,4,16,8,2,C,,5
98,તાપમાનનું એકમ ------------ છે,કે,કિગ્રા,કેલ્વિન,ન્યુટન/મી,C,,5
99,1m= ----mm,10,100,1000,10000,C,,5
100,1cm=--------mm,10,100,1000,10000,A,,5
101,પ્રકાશ વર્ષ -------- નો એકમ છે,બળ,વેગ,સમય,અંતર,D,,5
102,દબાણનું એકમ -----------,કે,કિગ્રા,કેલ્વિન,ન્યુટન/m2,D,,5
103,એકમ ત્રિજ્યાના વર્તુળનો પરિઘ ---------- છે,6,100,1000,10000,A,,5
104,સામયિક સમયનું એકમ -----------,કે,કિગ્રા,બીજું,ન્યુટન/મી,C,,5
105,આવર્તનનું એકમ =------------,કે,કિગ્રા,હર્ટ્ઝ,ન્યુટન/મી,C,,5
106,એકમ સમય દીઠ મુસાફરી કરેલ અંતર ---------- છે,બળ,વેગ,સમય,અંતર,B,,5
107,વેગના ફેરફારનો દર ---------- છે,બળ,પ્રવેગક,સમય,અંતર,B,,5
108,1kg=-----gm,1000,100,100000,1000000,A,,5
109,બળ નો એકમ _____છે.,ન્યુટન,કિગ્રા/સેકન્ડ,જૌલ,વોટ,A,,5
110,પાવર નો એકમ ____છે.,ન્યુટન,કિગ્રા/સેકન્ડ,જૌલ,વોટ,D,,5
111,વેગનો એકમ __છે.,m/s,કિગ્રા/સેકન્ડ,જૌલ,વોટ,A,,5
112,પ્રવેગનો એકમ ____છે.,m/s,m/s2,જૌલ,Kg-s,B,,5
113,રેખીય વેગમાનનું સૂત્ર ______છે.,p=ma,p=Fa,p=mv,p=Ft,A,,5
114,ન્યુટનના બીજા નિયમનું સાચું સ્વરૂપ _____છે.,F=ma,p=Fa,p=mv,p=Ft,A,,5
115,ન્યુટનનો પ્રથમ નિયમ _______વિશે છે.,કાર્ય,વેગમાન,જડત્વ,પ્રવેગ,C,,5
116,આવેગના સાચા સ્વરૂપને ઓળખો.,∆F=p∙∆t,∆p=F∙∆t,∆t=F∙∆p,∆p=F∙∆a,B,,5
117,પ્રવેગ એ સમય સાથે ______ ના ફેરફારનો દર છે.,વેગ,બળ,વેગ,પાવર,C,,5
118,1N=___________ડાયને,10,100,1000,100000,D,,5
119,ઉર્જાનો એકમ _____ છે.,m/s,કિગ્રા/સેકન્ડ,જુલ,વોટ,C,,5
120,10 ન્યૂટન = ______kg.m/s2,40,20,10,30,C,,5
121,રોકેટની ગતિ શેના પર આધારિત છે?,માસ,લીનિયર મોમેન્ટમ,ગતિ ઊર્જા,કોણીય મોમેન્ટમ,B,,5
122,સતત ગતિ ધરાવતો પદાર્થ_______માટે સતત હોવું જોઈA,ફોર્સ,વેગ,પ્રવેગક,આ તમામ,B,,5
123,વેગમાત્રામાં ફેરફારનું પરિણામ_______થી આવી શકે છે.,એક પ્રવેગક,એક બળ,આવેગ,ઉપરોક્ત તમામ,D,,5
124,પદાર્થની ગતિને રોકવા અથવા રોકવાનું વલણ________ તરીકે ઓળખાય છે.,વેગ,બળ,વેગ,ગતિ,B,,5
125,એક પદાર્થ અચળ વેગ અને __________સાથે મુસાફરી કરે છે.,વેગમાત્રાનો સતત દર,ઘટતી વેગમાત્રા,વધતી વેગમાત્રા,ઉપર્યુક્તમાંથી કોઈ નહિ.,A,,5
126,પાવર _______તરીકે વ્યાખ્યાયિત થયેલ છે.,તે પદાર્થનું દબાણ અથવા ખેંચાણ છે.,કામ કરવાની ક્ષમતા,કામ કરવાનો દર,ઉપર્યુક્તમાંથી કોઈ નહિ.,C,,5
127,નીચેનામાંથી કયો ભૌતિક જથ્થો કામના દરને માપે છે?,ફોર્સ,ઊર્જા,પાવર,મોમેન્ટમ,C,,5
128,"ઊંચાઈ h થી ગુરુત્વાકર્ષણ હેઠળ મુક્તપણે આવતા પદાર્થ માટે, તેની સંભવિત ઊર્જા ક્યારે મહત્તમ હશે,",પ્રારંભિક સ્થિતિ કારણ કે તે પડવાનું શરૂ કરે છે.,સૌથી નીચું સ્થાન કારણ કે તે જમીન પર અથડાવાનું છે.,તેના પ્રક્ષેપણની શરૂઆત અને અંતની સ્થિતિ વચ્ચ,ડેટા અપૂરતો છે.,A,,5
129,નકારાત્મક પ્રવેગ __________ની વિરુદ્ધ દિશામાં થાય છે.,વેગ,ફોર્સ,અંતર,મોમેન્ટમ,A,,5
130,વેગ-સમય ગ્રાફ હેઠળનો વિસ્તાર શું દર્શાવે છે?,વેગ,વિસ્થાપન,ફોર્સ,પ્રવેગક,B,,5
131,અંતર-સમય ગ્રાફનો ઢોળાવ________ આપે છે.,ફોર્સ,પ્રવેગક,મોમેન્ટમ,ઝડપ,D,,5
132,પ્રવેગ શોધવાનું સૂત્ર _______છે.,(v×t),(1/t),(W/t),(v-u)/t,D,,5
133,"જો કણનો વેગ તેના પ્રારંભિક મૂલ્યના અડધા જેટલો થઈ જાય, તો કણની ગતિ ઊર્જા_______.",બમણું મેળવો,બમણું મેળવો,તેના મૂળ મૂલ્યના અડધા સુધી ઘટાડો,તેના મૂળ મૂલ્યના એક ચોથા ભાગ સુધી ઘટાડ,D,,5
134,m' દ્રવ્ય ના કણમાં વેગ 'p' હોય છે. તેની ગતિ ઊર્જા ______હશે.,p2m,mp,p2/2m,ઉપરોક્તમાંથી કોઈ નહીં,C,,5
135,ઉર્જાનો SI એકમ _______ છે.,વોલ્ટ,વોટ,જૌલ,રેડિયન,C,,5
136,પવનચક્કીમાં શાફ્ટ યાંત્રિક ઉર્જાને ________ માં રૂપાંતરિત કરવામાં મદદ કરે છે.,રાસાયણિક ઉર્જા,સૌર ઉર્જા,વિદ્યુત ઊર્જા,થર્મલ એનર્જી,C,,5
137,_____________________ ફોર્મ્યુલા સંભવિત ઊર્જા આપે છે.,m+h+g,m×g×h,m+g-h,mg/2h,B,,5
138,બળ × સ્થાનાંતર ______________ કહેવાય છે.,કામ,વજન,પ્રવેગક,મોમેન્ટમ,A,,5
