id,question,A,B,C,D,ANS,justification,category
50,"સામાજિક પરિસ્થિતિમાં શબ્દો પણ અનુભવ છે, પરંતુ તે શબ્દો અક્ષરો અને વાક્ય સાથે નથી.",ભૌતિક બેરિયર્સ,સામજાજિક બેરિયર્સ,સેમેંટિક/ભાષાવિજ્ઞાનિક બેરિયર,પ્સિકોલોજિકલ બેરિયર્સ,એ. ભૌતિક બેરિયર્સ,"દરેક સમાજમાં, સાંસ્કૃતિક પૃષ્ઠભૂમિ અલગ હોઈ શકે છે, તેથી ત્યાં ગેરસંચાર હોઈ શકે છે.",
51,11π/6 નું ડિગ્રી માપ _____છે.,330°,30°,270°,320°,A= 330°,,
52,tan⁡〖60°〗/cot⁡〖30° ની કિંમત શોધો.,0,1,2,3,B=1,,
54,જોcosx=2/3 અને 𝑥 પ્રથમ ચરણમાં હોય તો 𝑡𝑎𝑛𝑥=______,,,,,C = √5⁄2,,
55,25° નું રેડિયન માપ _______છે.,,,,,A = (5 π)/6,,
,,,,,,,,
56,જો cos x= 3/4 તો cos⁡ 2x ની કિંમત _______છે.,,,,,C = 1/8,,
57,"જો〖4 tan θ= 3, તો (4 sin⁡〖θ-cos⁡θ 〗)/(4 sin⁡〖θ+ 9 cos⁡θ ) ની કિંમત શોધો.",1⁄6,11⁄6,7⁄6,(-1)⁄6,A= 1⁄6,,
58,tan 25π/6 ની કિંમત____ છે.,,,,,D = 1/√3.,,
,,,,,,,,
59,નું ડિગ્રી માપ _____છે.,310°,230°,60°,210°,D = 210°,,
,,,,,,,,
60,sin⁡〖78° cos〖18^0 - cos〖78^0 sin〖18^0 ની કિંમત શોધો.,,,,,A =√3/2,,
,,,,,,,,
61,cos⁡〖48°- sin⁡〖42°〗 ની કિંમત શોધો.,1,0,-1,2,B=0,,
62,નું રેડિયન માપ _______છે.,,,,,B = (5 π)/6,,
,,,,,,,,
63,"જો sinA= 4/5 અને cosB= 5/13 જ્યાં 0<A,B< π/2 તો sin⁡ (A-B)= _______",,,,,C = -16/65,,
,,,,,,,,
64,ની કિંમત ____ છે.,√3,1/√3,-√3,1,A= √3,,
,,,,,,,,
65,ની કિંમત શોધો.,6,8,-8,0,B= 8,,
,,,,,,,,
66,જો અને 𝑥 બીજાચરણમાં હોય તો 𝑠𝑖𝑛𝑥 = ____,,,,,C= √8/3,,
,,,,,,,,
67,"જો sinA=4/5 અને cosB= 5/13 જ્યાં 0<A,B< π/2 તો cos(𝐴−𝐵)=_____",0,,,1,B= 63/65,,
,,,,,,,,
68,ની કિંમત શોધો.,1,-1,0,2,A=1,,
,,,,,,,,
,,,,,,,,
69,બળનું એકમ --------,kg,m,m/s,Newton,D,,
70,"""પદાર્થની માત્રા"" દર્શાવવા માટેનું પ્રતીક ________ છે",K,A,Cd,mol,D,,
71,નીચેનામાંથી કયું પૂરક એકમ છે ——–,માસ,સમય,ઘન કોણ,તેજસ્વીતા,C,,
72,AU એ ________ નો એકમ છે,ખગોળશાસ્ત્ર એકમ,ખગોળીય એકમ,જ્યોતિષ એકમ,પુરાતત્વીય એકમ,,,
73,ગતિ ઊર્જાના પરિમાણો ________ના પરિમાણો સમાન છે,પ્રવેગ,વેગ,કામ,બળ,C,,
74,ફરાડ એ ________ નો એકમ છે,તેજસ્વીતા,તરંગલંબાઇ,કેપેસિટન્સ,જડતા,C,,
75,જૌલ/સેકન્ડ એ નું એકમ છે,બળ,કોણીય વેગ,ઉર્જા,શક્તિ,D,,
76,J/s એ-------- નું એકમ છે,બળ,કોણીય વેગ,ઉર્જા,શક્તિ,D,,
77,બળના આવેગનું એકમ છે ----------,કે,kg m/s,હર્ટ્ઝ,ન્યુટન/મી,B,,
78,જે એકમની સિસ્ટમ છે,એસએમએસ સિસ્ટમ,MKP સિસ્ટમ,FPS સિસ્ટમ,FPS સિસ્ટમ,C,,
79,1m/s=---------cm/s,10,1000,100000,100,D,,
80,"ઘનનું કદ .....m3, જો તેની બાજુ 1 મીટર હોય",1,1000,100000,100,A,,
81,"""પદાર્થની માત્રા"" દર્શાવવા માટેનું પ્રતીક ________ છે",કે,એ,સીડી,મોલ,D,,
82,ગતિ ઊર્જાના પરિમાણો ________ના પરિમાણો સમાન છે,પ્રવેગ,વેગ,કામ,બળ,C,,
83,નીચેનામાંથી કયું પરિમાણહીન છે,કામ,શક્તિ,કામ,આવેગ,B,,
84,ફોર્સના પરિમાણો છે,[M-1L3T-2],[M1L1T-2],[M-1L2T-2],[M1L-1T-1],B,,
85,નીચેનામાંથી કયું પરિમાણહીન છે,બળ/પ્રવેગક,વેગ/પ્રવેગક,વોલ્યુમ/એરિયા,ઊર્જા/કામ,D,,
86,સાર્વત્રિક વેગના પરિમાણો ---------છે,[M-1L3T-2],[M1L1T-2],[M-1L2T-2],[M1L-1T-1],D,,
87,1m=___________cm,10,100,1000,10000,A,,
88,1N=___________dyne,10,100,1000,10000,D,,
89,1m ત્રિજ્યા ધરાવતા ગોળાનું કદ ------m3 છે,4,8,12,16,A,,
90,1m ત્રિજ્યા ધરાવતા ગોળાનું ક્ષેત્રફળ ------------------- છે.,130,1.3,26,13,D,,
91,વિસ્તારનું એકમ (ક્ષેત્રફળ) છે ------------,kg,m2,m/s,Newton,B,,
92,દબાણનું એકમ ------------ છે,ન્યુટન/m2,kgm/s,m/s,ન્યુટન/મી,A,,
93,ઘનતાનું એકમ ------------ છે,ન્યુટન/m2,kgm/s,kg/m3,ન્યુટન/મી,C,,
94,જે મૂળભૂત એકમ નથી?,કે,એ,m/s,મોલ,C,,
95,મૂળભૂત એકમ (મૂળભૂત એકમ) કયો છે?,મી,kgm/s,kg/m3,ન્યુટન/મી,A,,
96,1g/cm3=-------kg/m3,10,100,1000,10000,C,,
97,2 મીટરની બાજુ ધરાવતા ઘનનું પ્રમાણ ----------- છે,4,16,8,2,C,,
98,તાપમાનનું એકમ ------------ છે,કે,કિગ્રા,કેલ્વિન,ન્યુટન/મી,C,,
99,1m= ----mm,10,100,1000,10000,C,,
100,1cm=--------mm,10,100,1000,10000,A,,
101,પ્રકાશ વર્ષ -------- નો એકમ છે,બળ,વેગ,સમય,અંતર,D,,
102,દબાણનું એકમ -----------,કે,કિગ્રા,કેલ્વિન,ન્યુટન/m2,D,,
103,એકમ ત્રિજ્યાના વર્તુળનો પરિઘ ---------- છે,6,100,1000,10000,A,,
104,સામયિક સમયનું એકમ -----------,કે,કિગ્રા,બીજું,ન્યુટન/મી,C,,
105,આવર્તનનું એકમ =------------,કે,કિગ્રા,હર્ટ્ઝ,ન્યુટન/મી,C,,
106,એકમ સમય દીઠ મુસાફરી કરેલ અંતર ---------- છે,બળ,વેગ,સમય,અંતર,B,,
107,વેગના ફેરફારનો દર ---------- છે,બળ,પ્રવેગક,સમય,અંતર,B,,
108,1kg=-----gm,1000,100,100000,1000000,A,,
109,બળ નો એકમ _____છે.,ન્યુટન,કિગ્રા/સેકન્ડ,જૌલ,વોટ,A,,
110,પાવર નો એકમ ____છે.,ન્યુટન,કિગ્રા/સેકન્ડ,જૌલ,વોટ,D,,
111,વેગનો એકમ __છે.,m/s,કિગ્રા/સેકન્ડ,જૌલ,વોટ,A,,
112,પ્રવેગનો એકમ ____છે.,m/s,m/s2,જૌલ,Kg-s,B,,
113,રેખીય વેગમાનનું સૂત્ર ______છે.,p=ma,p=Fa,p=mv,p=Ft,A,,
114,ન્યુટનના બીજા નિયમનું સાચું સ્વરૂપ _____છે.,F=ma,p=Fa,p=mv,p=Ft,A,,
115,ન્યુટનનો પ્રથમ નિયમ _______વિશે છે.,કાર્ય,વેગમાન,જડત્વ,પ્રવેગ,C,,
116,આવેગના સાચા સ્વરૂપને ઓળખો.,∆F=p∙∆t,∆p=F∙∆t,∆t=F∙∆p,∆p=F∙∆a,B,,
117,પ્રવેગ એ સમય સાથે ______ ના ફેરફારનો દર છે.,વેગ,બળ,વેગ,પાવર,C,,
118,1N=___________ડાયને,10,100,1000,100000,D,,
119,ઉર્જાનો એકમ _____ છે.,m/s,કિગ્રા/સેકન્ડ,જુલ,વોટ,C,,
120,10 ન્યૂટન = ______kg.m/s2,40,20,10,30,C,,
121,રોકેટની ગતિ શેના પર આધારિત છે?,માસ,લીનિયર મોમેન્ટમ,ગતિ ઊર્જા,કોણીય મોમેન્ટમ,B,,
122,સતત ગતિ ધરાવતો પદાર્થ_______માટે સતત હોવું જોઈએ.,ફોર્સ,વેગ,પ્રવેગક,આ તમામ,B,,
123,વેગમાત્રામાં ફેરફારનું પરિણામ_______થી આવી શકે છે.,એક પ્રવેગક,એક બળ,આવેગ,ઉપરોક્ત તમામ,D,,
124,પદાર્થની ગતિને રોકવા અથવા રોકવાનું વલણ________ તરીકે ઓળખાય છે.,વેગ,બળ,વેગ,ગતિ,B,,
125,એક પદાર્થ અચળ વેગ અને __________સાથે મુસાફરી કરે છે.,વેગમાત્રાનો સતત દર,ઘટતી વેગમાત્રા,વધતી વેગમાત્રા,ઉપર્યુક્તમાંથી કોઈ નહિ.,A,,
126,પાવર _______તરીકે વ્યાખ્યાયિત થયેલ છે.,તે પદાર્થનું દબાણ અથવા ખેંચાણ છે.,કામ કરવાની ક્ષમતા,કામ કરવાનો દર,ઉપર્યુક્તમાંથી કોઈ નહિ.,C,,
127,નીચેનામાંથી કયો ભૌતિક જથ્થો કામના દરને માપે છે?,ફોર્સ,ઊર્જા,પાવર,મોમેન્ટમ,C,,
128,"ઊંચાઈ h થી ગુરુત્વાકર્ષણ હેઠળ મુક્તપણે આવતા પદાર્થ માટે, તેની સંભવિત ઊર્જા ક્યારે મહત્તમ હશે,",પ્રારંભિક સ્થિતિ કારણ કે તે પડવાનું શરૂ કરે છે.,સૌથી નીચું સ્થાન કારણ કે તે જમીન પર અથડાવાનું છે.,તેના પ્રક્ષેપણની શરૂઆત અને અંતની સ્થિતિ વચ્ચ,ડેટા અપૂરતો છે.,A,,
129,નકારાત્મક પ્રવેગ __________ની વિરુદ્ધ દિશામાં થાય છે.,વેગ,ફોર્સ,અંતર,મોમેન્ટમ,A,,
130,વેગ-સમય ગ્રાફ હેઠળનો વિસ્તાર શું દર્શાવે છે?,વેગ,વિસ્થાપન,ફોર્સ,પ્રવેગક,B,,
131,અંતર-સમય ગ્રાફનો ઢોળાવ________ આપે છે.,ફોર્સ,પ્રવેગક,મોમેન્ટમ,ઝડપ,D,,
132,પ્રવેગ શોધવાનું સૂત્ર _______છે.,(v×t),(1/t),(W/t),(v-u)/t,D,,
